Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,71.94066891,36.83159291,66.51156069,56.30469455
,0.25,91.62456649,50.78451381,84.56878613,50.05462185
,0.5,109.740541,48.34777747,99.84277457,47.6975629
,0.75,116.0698064,47.0094333,90.64508671,46.98229024
,1,121.4840277,42.6019038,81.48381503,47.09546583
,1.25,128.4502895,41.76047352,74.50231214,46.16784845
,1.5,130.0189172,40.50017025,61.22080925,46.19693542
,1.75,138.8751805,40.82552961,56.32543353,44.7076312
,2,140.1820406,39.81292272,47.29942197,44.72355735
,2.25,142.4729361,39.32481252,38.48150289,44.46548299
,2.5,138.4250569,38.72553421,32.62369942,45.24631663
,2.75,138.4326274,41.12455661,36.23410405,44.71198925
,3,130.997506,41.92412883,28.2017341,45.72392596
,3.25,128.3568966,44.60823488,25.89190751,45.54995546
,3.5,128.7394838,43.93716919,27.73352601,45.63786722
,3.75,124.8709161,46.39694731,23.31676301,45.7102207
,4,117.1926361,48.13485716,16.68901734,46.55254329
,4.25,115.3756875,49.27802485,18.74393064,46.58921782
,4.5,113.8715213,49.55565938,16.1583815,46.76818784
,4.75,107.3328472,51.21322724,10.27976879,47.44602728
,5,102.2594096,53.85646104,11.25260116,47.67039201
,5.25,98.81323603,58.75093714,13.15144509,47.13411843
,5.5,91.79691604,66.14629416,8.953179191,46.61331695
,5.75,83.74921836,75.24774215,6.98150289,45.87840458
,6,77.28656327,84.28351935,10.15491329,44.90447891
,6.25,72.3726431,90.61455186,7.673410405,44.28381002
,6.5,62.73268908,95.6580199,5.176300578,44.70543199
,6.75,53.38646832,98.87486781,8.661849711,45.48597222
,7,46.28880194,99.47346271,10.20693642,46.48857776
,7.25,39.85058036,96.56577601,10.86763006,48.16484581
,7.5,34.50449326,90.76883324,13.73930636,50.30842925
,7.75,33.60161726,84.29303765,14.13468208,51.8919551
,8,32.44871666,77.91506877,15.56011561,53.49374561
,8.25,31.84668715,74.31896918,20.45028902,54.38920357
,8.5,32.90818521,68.934375,21.09017341,55.41594037
,8.75,32.02855135,64.92675025,23.9982659,56.44726506
,9,33.92127339,60.259595,28.16531792,57.18157515
,9.25,36.86080042,58.76816652,29.80404624,57.04267937
,9.5,37.94926549,58.1887232,34.69942197,56.99729014
,9.75,40.96914721,58.30102577,41.7433526,56.48915294
,10,47.27295344,56.5713237,46.5867052,55.86492218
,10.25,48.71794872,58.70229577,50.66531792,55.16017359
,10.5,48.31283379,57.29762097,52.02312139,55.53714193
,10.75,51.74349446,57.68248952,52.49653179,54.90270988
,11,48.164424,57.31528561,50.99306358,55.55696203
,11.25,58.32864329,58.46264378,54.26011561,53.67571846
,11.5,69.13567979,57.35525882,59.06184971,52.19267816
,11.75,80.65703491,55.4278348,64.36820809,50.77757779
,12,89.65680198,53.07517818,66.67803468,49.86042764
,12.25,106.7537567,53.87287046,69.83063584,46.94764994
,12.5,111.3700856,56.50856733,71.39132948,45.62332689
,12.75,116.1274375,57.66302943,72.3433526,44.60560346
,13,121.6692688,56.10070258,71.34450867,44.0660942
,13.25,127.1103621,53.75475243,70.48612717,43.71684153
,13.5,132.2097141,50.55755123,72.28092486,43.61143435
,13.75,142.626426,45.22847456,66.40231214,43.12899972
,14,150.4716038,42.42797441,63.10404624,42.49610463
,14.25,159.3754013,38.79616027,60.40924855,41.87856684
,14.5,162.9874595,36.27343994,60.63294798,41.86124204
,14.75,161.6526965,35.77175767,54.36416185,42.18628908
,15,156.241534,36.65968863,54.44219653,42.85475709
,15.25,151.7466124,37.81611803,50.32716763,43.31696023
,15.5,143.2919726,38.1138022,48.81849711,44.60355056
,15.75,142.8025409,38.43410853,45.69710983,44.61068045
,16,141.258308,39.43639274,47.98092486,44.6350279
,16.25,134.7989865,40.12963409,47.28901734,45.51446569
,16.5,130.9906396,38.43182527,50.81618497,46.50109204
,16.75,128.1125987,36.77755821,48.31387283,47.32919349
,17,120.311611,35.68487784,47.54393064,48.82016938
,17.25,106.4369709,38.15075322,47.68439306,50.49213949
,17.5,95.18869153,39.53242271,46.0300578,51.98482653
,17.75,81.18662501,42.99842196,48.70924855,53.45493512
,18,66.00952689,47.81167946,56.51271676,54.81365804
,18.25,52.78804982,53.4679705,65.32023121,55.67214081
,18.5,45.39487763,60.87207645,70.23641618,55.20969148
,18.75,37.67090719,68.44656471,82.61271676,54.76230714
,19,30.04244022,74.58663804,92.1849711,54.61840111
,19.25,29.5917745,77.32181799,103.5260116,54.08268986
,19.5,28.21185709,80.46385666,112.4323699,53.60524583
,19.75,25.01776752,82.68173279,128.3462428,53.6234388
,20,27.4913318,83.87965034,136.1653179,52.96146462
,20.25,29.26158054,83.41206769,142.2416185,52.78213207
,20.5,27.51971011,86.07123356,150.8150289,52.46990559
,20.75,28.53221885,87.51439119,153.1716763,51.9872025
,21,30.01968382,87.71599419,157.4635838,51.70440744
,21.25,27.05644311,88.81947028,159.2635838,51.93330904
,21.5,29.61666244,88.91595311,165.1369942,51.50223332
,21.75,34.02714263,87.24339592,165.7508671,51.16823586
,22,38.92044059,83.82821061,168.9919075,51.14423826
,22.25,46.03420154,77.33328945,168.133526,51.44935232
,22.5,55.96251869,70.62759821,168.0919075,51.35097519
,22.75,61.04457405,62.77187445,156.7768786,52.28356272
,23,69.32740216,56.5979336,147.2878613,52.33029707
,23.25,78.22995743,51.25211635,140.1398844,52.09384762
,23.5,86.61461738,51.15030376,132.9242775,50.77492705
,23.75,95.90425661,51.39314766,126.416185,49.23461946
2,0,104.1201402,50.21333661,124.3924855,48.18225832
,0.25,112.1441164,47.82534979,118.5398844,47.42908586
,0.5,116.7314029,42.44619984,114.2063584,47.89048669
,0.75,123.917798,39.04979173,103.7913295,47.49542083
,1,133.1043216,36.97185972,91.59710983,46.48733971
,1.25,137.0060989,37.43053801,81.78554913,45.76112684
,1.5,139.3674527,35.68645654,72.92601156,45.77088389
,1.75,143.0658455,34.50523566,63.10924855,45.44163458
,2,140.7205698,35.56781547,56.95491329,45.58074983
,2.25,136.5689148,36.78155622,49.39075145,45.97529446
,2.5,137.8905822,38.43981803,43.93872832,45.39532506
,2.75,136.9996426,40.1738122,37.60231214,45.15254336
,3,139.2340674,43.71470141,30.43872832,44.00817112
,3.25,139.5487141,45.52764996,24.42485549,43.55495019
,3.5,139.5390379,45.1905735,25.05953757,43.63140426
,3.75,130.0932069,46.75586645,22.34913295,44.79489435
,4,126.0503147,49.34843381,24.14913295,44.86563103
,4.25,121.6424764,54.46380832,21.44393064,44.43413526
,4.5,116.1286621,58.07726801,19.65953757,44.5133545
,4.75,107.1998453,64.28345813,20.28381503,44.56281183
,5,100.2104923,68.53773777,16.47052023,44.73571283
,5.25,97.18183666,75.19342841,11.8300578,43.74125538
,5.5,92.54913619,80.10163512,11.11213873,43.39177485
,5.75,87.17663788,84.14732622,14.54566474,43.35233211
,6,82.79145007,84.30004028,17.84913295,44.0200257
,6.25,74.52832563,83.95789858,18.72312139,45.4181571
,6.5,67.08022186,82.82754717,21.41271676,46.86104291
,6.75,57.98923347,79.79386673,28.87803468,48.98975226
,7,55.70140326,73.90166751,28.85202312,50.6651827
,7.25,46.04512567,69.13518075,24.23757225,53.26940639
,7.5,42.79369745,64.13943085,31.91098266,54.89980155
,7.75,38.30291602,60.06121919,36.84277457,56.52459584
,8,40.74263204,56.33206886,39.35549133,56.96294135
,8.25,35.66003292,55.53117207,39.79248555,57.95413427
,8.5,35.70829645,53.88293381,42.43526012,58.31268728
,8.75,38.13264255,51.79181449,40.48439306,58.38948508
,9,39.91090356,51.52917698,37.64913295,58.16332721
,9.25,37.75912933,53.09759209,32.92023121,58.1590744
,9.5,38.02103797,53.95017323,36.96763006,57.92770654
,9.75,42.36996569,56.70146289,34.47052023,56.6204804
,10,43.01486861,59.10847945,38.02369942,55.98240337
,10.25,46.07273286,62.48338516,44.36531792,54.74316604
,10.5,45.22272203,60.77770723,44.56820809,55.25820731
,10.75,49.65534865,59.38376072,44.62023121,54.85875294
,11,59.63124897,56.01946873,50.47283237,54.01022934
,11.25,64.13797312,53.99151608,53.39132948,53.73980962
,11.5,77.36432852,53.30593721,50.45722543,51.77594361
,11.75,90.35701308,52.64053021,55.99768786,49.84498231
,12,107.1306564,53.95281512,56.39306358,46.8695805
,12.25,111.4369802,53.64488606,57.82890173,46.24899737
,12.5,123.8053233,52.18464928,54.5982659,44.59455954
,12.75,129.4709397,50.83351666,58.90578035,43.98831262
,13,142.3901809,48.83953488,59.85260116,42.36434109
,13.25,146.6938623,46.53831781,55.73236994,42.18713364
,13.5,149.6425642,45.62904032,55.93526012,41.91740299
,13.75,153.1135873,40.82332613,52.78265896,42.42997578
,14,156.3217666,37.93071611,47.1433526,42.55946931
,14.25,157.5999226,32.94199763,44.70346821,43.46356847
,14.5,159.7271804,34.25987328,49.64566474,42.83034596
,14.75,162.6647989,34.5306526,42.99190751,42.30015381
,15,162.3457559,35.5279858,44.78150289,42.1295711
,15.25,160.5811416,35.93220359,47.28901734,42.32208321
,15.5,159.597525,37.23673391,49.00057803,42.18956624
,15.75,153.4094005,38.90501867,41.35317919,42.80893621
,16,153.0071383,36.45945656,44.52138728,43.41675641
,16.25,147.8780681,33.99551151,45.46300578,44.78495099
,16.5,142.1869984,32.03999412,44.15722543,46.13008157
,16.75,133.3774766,31.02759091,42.72138728,47.76458354
,17,125.5024036,30.89867346,47.84566474,49.05324354
,17.25,113.7884768,32.89514529,52.7150289,50.48381143
,17.5,100.0853579,37.51589258,55.82080925,51.64947772
,17.75,86.32602553,41.90813205,64.82080925,52.87491768
,18,72.27109247,47.47825252,72.22369942,53.88590242
,18.25,56.95018757,52.65477662,82.99248555,55.18690852
,18.5,43.42846895,60.76982988,89.20924855,55.54703833
,18.75,34.60624177,66.9205598,99.81676301,55.59176581
,19,30.74275253,71.07949332,111.8809249,55.28571663
,19.25,28.03276975,73.41711859,123.1491329,55.1998416
,19.5,27.5143619,72.94003391,132.3364162,55.38880567
,19.75,28.83099765,74.10145914,149.7381503,54.92004946
,20,31.21537272,74.24876957,157.817341,54.50581379
,20.25,31.13146448,78.07503691,164.7676301,53.66895748
,20.5,32.50381067,81.0799018,175.0890173,52.78163434
,20.75,33.74789521,83.57246131,183.5791908,52.0286787
,21,33.68230685,84.27079087,184.5104046,51.88398849
,21.25,33.21984344,85.31834619,194.5508671,51.72519256
,21.5,35.22136092,84.33530099,194.4728324,51.62340426
,21.75,29.8322757,82.0277092,190.7947977,52.99845607
,22,31.5856865,76.58907938,188.2248555,53.92649474
,22.25,35.17850092,70.49232282,186.3624277,54.70647923
,22.5,44.60713205,62.34533903,178.5069364,55.00833909
,22.75,53.87958436,54.1570905,173.8352601,55.3443575
,23,66.94352094,49.47376548,165.433526,54.29486654
