ECs,Numbers of Households,Numbers of EV Chargers,HVAC - Peak (kW),EWH - Peak (kW),Residual inflexible load - Peak (kW),EV Chargers - Peak (kW),Total - Peak (kW)
1,145,36,402.1909888,170.3120397,101.4353314,216,889.93836
2,140,37,401.0250722,174.8433659,93.98633224,222,891.8547703
3,135,38,372.1812784,141.6666095,92.46682227,228,834.3147101
4,130,39,351.709105,139.6398044,93.42251863,234,818.7714281
5,125,40,344.5541168,144.2307692,89.32025829,240,818.1051444
6,120,41,317.8666348,162.3989306,80.00344778,246,806.2690132
7,115,43,340.892544,148.7886334,81.00468701,258,828.6858644
8,110,45,305.2236045,130.2891607,75.2649886,270,780.7777538
9,105,47,268.6569493,110.1072798,72.84772357,282,733.6119527
10,100,49,279.4262868,122.2206168,67.47348896,294,763.1203926
11,95,51,275.087193,103.7121201,64.33177735,306,749.1310905
12,90,53,239.3615656,96.39134376,63.59852714,318,717.3514365
13,92,54,251.9595143,100.8672392,64.8331549,324,741.6599084
14,94,53,229.9446077,108.9449171,63.94550606,318,720.8350308
15,96,52,234.9814229,131.9029141,61.68537263,312,740.5697097
16,98,51,277.7255543,120.6606885,69.39277108,306,773.7790139
17,100,50,278.8198064,130.0234968,67.12676833,300,775.9700716
18,102,49,292.9663302,99.02663643,70.03055287,294,756.0235195
19,104,47,322.745995,130.6701338,69.31683145,282,804.7329603
20,106,45,299.7097286,122.9726049,73.06320109,270,765.7455346
21,108,43,282.8907545,140.8996953,74.47709025,258,756.2675401
22,110,41,321.2364641,110.1798895,76.50361424,246,753.9199679
23,112,40,301.8101512,151.4598671,77.39526764,240,770.665286
24,114,39,286.917963,162.8944312,73.26539004,234,757.0777843
25,116,38,283.1646677,127.4161606,81.65086315,228,720.2316914
26,118,37,323.744737,148.2454181,81.42932891,222,775.419484
27,120,36,386.1081438,129.4408992,83.17360644,216,814.7226494
